"Id","SalePrice"
1461,114243.352253916
1462,156921.106577084
1463,158909.477585494
1464,184545.423885877
1465,183338.109920577
1466,164110.543188046
1467,183232.935530827
1468,158183.64880058
1469,180374.135829464
1470,113988.821073633
1471,185865.680463125
1472,100187.125827806
1473,92320.6008633195
1474,143030.749371928
1475,116095.573378167
1476,339497.688833752
1477,226155.624892329
1478,288631.611565244
1479,269489.88988036
1480,447339.934041384
1481,280820.181931035
1482,196500.112748185
1483,165837.295685798
1484,163495.506722993
1485,191070.057478667
1486,189324.94342204
1487,298971.64140924
1488,159908.195841963
1489,177032.923333964
1490,216231.721172048
1491,187453.521665886
1492,87053.5847595917
1493,189234.245317821
1494,284515.85719699
1495,260607.323194766
1496,219318.425268953
1497,165913.748260671
1498,157819.532485293
1499,155938.267914738
1500,151236.947998728
1501,162260.810836728
1502,158213.351750387
1503,265223.025829835
1504,244222.272952876
1505,213222.122280653
1506,185118.3617941
1507,220203.737652674
1508,186963.656889223
1509,151118.094756432
1510,133309.388161864
1511,142228.106205363
1512,169841.198432916
1513,144535.005754727
1514,159908.195841963
1515,172185.340087896
1516,147475.932095406
1517,154907.655074938
1518,123010.67216692
1519,201101.714072822
1520,122348.67835692
1521,119242.195296693
1522,179788.948095736
1523,96745.5510473072
1524,120053.99314187
1525,106016.320279996
1526,94813.9940200683
1527,100855.097729814
1528,139826.096577622
1529,137227.70173938
1530,189750.373391996
1531,120213.55673215
1532,159908.195841963
1533,154890.707133766
1534,122595.140325264
1535,129395.859145281
1536,104623.028384766
1537,51868.3906977254
1538,138920.183327338
1539,228355.014161148
1540,159908.195841963
1541,137209.254370634
1542,122080.156592238
1543,146178.915361762
1544,82474.4115399694
1545,103580.104687556
1546,135902.660356865
1547,120970.565549771
1548,122381.087769446
1549,111903.098628829
1550,120780.378270995
1551,118876.365763746
1552,128300.498567247
1553,159908.195841963
1554,120670.770215668
1555,148271.449121051
1556,159908.195841963
1557,159908.195841963
1558,106754.845341291
1559,159908.195841963
1560,126136.862768766
1561,159908.195841963
1562,127087.653443289
1563,112395.392491519
1564,146597.212343924
1565,129794.724423039
1566,221920.863374288
1567,78703.0786239599
1568,227480.863778223
1569,121162.157103782
1570,149145.677929214
1571,104421.80583145
1572,135691.589963666
1573,209688.314620985
1574,108769.219378794
1575,208228.218895679
1576,245879.126299589
1577,171062.602311166
1578,146450.794506486
1579,119208.191242777
1580,189910.985442087
1581,148851.4057834
1582,123180.795072283
1583,272399.000096345
1584,209442.339362534
1585,139165.521217186
1586,159908.195841963
1587,104176.145137393
1588,137048.79254496
1589,88600.581860858
1590,127434.122723724
1591,159908.195841963
1592,110201.440714329
1593,134063.849489177
1594,159908.195841963
1595,159908.195841963
1596,191427.309449843
1597,151115.680729102
1598,194304.463808547
1599,174451.637687449
1600,172010.463275894
1601,63639.306112569
1602,115949.8994709
1603,75627.6422271039
1604,242032.656309555
1605,241910.600827477
1606,163354.004506269
1607,162368.733565652
1608,219197.522173896
1609,171630.799306752
1610,138978.473515867
1611,127772.076030389
1612,160667.324384207
1613,152446.639534618
1614,130764.656798602
1615,159908.195841963
1616,159908.195841963
1617,90274.198130695
1618,112595.99068758
1619,139495.973690748
1620,146963.272933782
1621,120990.994903459
1622,141391.628248936
1623,253199.727637091
1624,195483.841744125
1625,114869.632616037
1626,162704.25766683
1627,181345.392710362
1628,261397.307671325
1629,171520.438392084
1630,292042.40477601
1631,200411.330494575
1632,211791.00347974
1633,175952.809854999
1634,176060.610425536
1635,174895.555021744
1636,151872.82798011
1637,186572.387248722
1638,187098.253410752
1639,174366.075504911
1640,241490.650839716
1641,172749.60803223
1642,225565.167061324
1643,222892.451565854
1644,219413.993902532
1645,217213.648827026
1646,165181.768693632
1647,163700.98868995
1648,124626.130765421
1649,140899.911023934
1650,105053.694268028
